title,year,citations_scopus,citations_scholar,venue,doi,core_rank,scimago_quartile,sjr_score,type,source_type,source
Exact Worst-Case Delay For Fifo-Multiplexing Tandems,2012.0,16.0,29.0,Proceedings of the 2012 6th International Icst Conference on Performance Evaluation Methodologies and Tools Valuetools 2012,10.4108/icst.valuetools.2012.250090,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
Message From Wctt 2011 Organizers,2011.0,0.0,0.0,ACM International Conference Proceeding Series,,A,N/A,"0,191",Conference Proceeding,ed,Scopus
Optimos: Optimal Mos-Based Scheduling Of Downlink Voice Flows In Point-To-Multipoint Access Networks,2010.0,0.0,0.0,2010 IEEE International Symposium on A World of Wireless Mobile and Multimedia Networks Wowmom 2010 Digital Proceedings,10.1109/WOWMOM.2010.5534961,B,N/A,,Conference Proceeding,cp,Scopus + Scholar
Optimal Link Scheduling For Real-Time Traffic In Wireless Mesh Networks In Both Per-Flow And Per-Path Frameworks,2010.0,6.0,6.0,2010 IEEE International Symposium on A World of Wireless Mobile and Multimedia Networks Wowmom 2010 Digital Proceedings,10.1109/WOWMOM.2010.5534919,B,N/A,,Conference Proceeding,cp,Scopus + Scholar
Effective Scheduling Of Real-Time Traffic In Hsupa,2010.0,0.0,0.0,2010 European Wireless Conference Ew 2010,10.1109/EW.2010.5483474,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
Quality Of Experience Based Resource Sharing In Ieee 802.11E Hcca,2010.0,12.0,23.0,2010 European Wireless Conference Ew 2010,10.1109/EW.2010.5483493,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
"Ns2Voip++, An Enhanced Module For Voip Simulations",2010.0,13.0,18.0,Simutools 2010 3rd International Icst Conference on Simulation Tools and Techniques,10.4108/ICST.SIMUTOOLS2010.8790,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
Link Scheduling With End-To-End Delay Constraints In Wireless Mesh Networks,2009.0,15.0,20.0,2009 IEEE International Symposium on A World of Wireless Mobile and Multimedia Networks and Workshops Wowmom 2009,10.1109/WOWMOM.2009.5282472,B,N/A,,Conference Proceeding,cp,Scopus + Scholar
Interdomain Path Computation For Pce-Assisted Traffic Engineering,2009.0,2.0,3.0,Proceedings of the 2009 6th International Conference on Broadband Communications Networks and Systems Broadnets 2009,10.4108/ICST.BROADNETS2009.7262,C,N/A,,Conference Proceeding,cp,Scopus + Scholar
Flexible Scheduling For Real-Time Services In High-Speed Packet Access Cellular Networks,2009.0,6.0,9.0,2009 European Wireless Conference Ew 2009,10.1109/EW.2009.5357977,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
A Framework For Large-Scale Simulations And Output Result Analysis With Ns-2,2009.0,8.0,17.0,Simutools 2009 2nd International Icst Conference on Simulation Tools and Techniques,10.4108/ICST.SIMUTOOLS2009.5702,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
On The Automation Of Computer Network Simulators,2009.0,17.0,36.0,Simutools 2009 2nd International Icst Conference on Simulation Tools and Techniques,10.4108/ICST.SIMUTOOLS2009.5684,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
Estimating The Worst-Case Delay In Fifo Tandems Using Network Calculus,2008.0,23.0,36.0,Valuetools 2008 3rd International Conference on Performance Evaluation Methodologies and Tools,10.4108/ICST.VALUETOOLS2008.4388,A,N/A,,Conference Proceeding,cp,Scopus + Scholar
Euqos: End-To-End Qos Over Heterogeneous Networks,2008.0,11.0,26.0,International Telecommunication Union Proceedings of the 1st ITU T Kaleidoscope Academic Conference Innovations in Ngn K Ingn,10.1109/KINGN.2008.4542264,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
User-Level Performance Evaluation Of Voip Using Ns-2,2007.0,1.0,137.0,ACM International Conference Proceeding Series,10.4108/nstools.2007.2014,A,N/A,"0,191",Conference Proceeding,cp,Scopus + Scholar
End-To-End Delay Bounds In Fifo-Multiplexing Tandems,2007.0,10.0,27.0,Valuetools 2007 2nd International Icst Conference on Performance Evaluation Methodologies and Tools,10.4108/valuetools.2007.1912,C,N/A,,Conference Proceeding,cp,Scopus + Scholar
User-Level Performance Evaluation Of Voip Using Ns-2,2007.0,51.0,137.0,Valuetools 2007 2nd International Icst Conference on Performance Evaluation Methodologies and Tools,10.4108/nstools.2007.2014,C,N/A,,Conference Proceeding,cp,Scopus + Scholar
Bandwidth And Latency Analysis Of Modified Deficit Round Robin Scheduling Algorithms,2006.0,6.0,15.0,ACM International Conference Proceeding Series,10.1145/1190095.1190147,A,N/A,"0,191",Conference Proceeding,cp,Scopus + Scholar
A Novel Approach To Scalable Cac For Real-Time Traffic In Sink-Tree Networks With Aggregate Scheduling,2006.0,14.0,16.0,ACM International Conference Proceeding Series,10.1145/1190095.1190106,A,N/A,"0,191",Conference Proceeding,cp,Scopus + Scholar
An Integrated Framework For Enabling Effective Data Collection And Statistical Analysis With Ns-2,2006.0,46.0,69.0,ACM International Conference Proceeding Series,10.1145/1190455.1190466,A,N/A,"0,191",Conference Proceeding,cp,Scopus + Scholar
Efficient Provisioning Of Real-Time Qos Guarantees In Ieee 802.11E Wlans,2006.0,1.0,7.0,12th European Wireless Conference 2006 Enabling Technologies for Wireless Multimedia Communications European Wireless 2006,,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
A Scheduling Algorithm For Providing Real-Time Guarantees In 802.11E Wlans,2005.0,4.0,4.0,2nd International Conference on Broadband Networks Broadnets 2005,10.1109/ICBN.2005.1589685,C,N/A,,Conference Proceeding,cp,Scopus + Scholar
Exploiting Network Calculus For Delay-Based Admission Control In A Sink-Tree Network,2005.0,4.0,5.0,Proceedings 2005 Workshop on Techniques Methodologies and Tools for Performance Evaluation of Complex Systems Firb Perf 2005,10.1109/FIRB-PERF.2005.10,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
Wttp: A Scheduling Algorithm For Supporting Qos In Ieee 802.11E,2005.0,0.0,1.0,11th European Wireless Conference 2005 Next Generation Wireless and Mobile Communications and Services European Wireless 2005,,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
Aliquem: A Novel Drr Implementation To Achieve Better Latency And Fairness At O(1) Complexity,2002.0,39.0,58.0,IEEE International Workshop on Quality of Service Iwqos,10.1109/IWQoS.2002.1006576,B,N/A,"0,511",Conference Proceeding,cp,Scopus + Scholar
