title,year,citations_scholar,venue,link,source
Comparing LLMs and Traditional Privacy Measures to Evaluate Query Obfuscation Approaches,2025,,"Proceedings of the 15th Italian Information Retrieval Workshop, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:DPO9WFcz7UcC,Scholar
Counterfactual Dimension Importance Estimation (CoDIME) for Dense Information Retrieval‹,2025,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:-fu4zM_6qcIC,Scholar
A Dataset for Joint Conversational Search and Recommendation,2025,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:PklR0melJeUC,Scholar
The KIMERA Infrastructure: Shifting from Evaluation-as-a-Service to Evaluation-in-the-Cloud,2025,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:uWy0R8PweswC,Scholar
Quantumclef 2025: Overview of the second quantum computing challenge for information retrieval and recommender systems at CLEF,2025,5.0,"Working Notes of CLEF, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:e9bUPLv0EjcC,Scholar
Report from the Fourth Strategic Workshop on Information Retrieval in Lorne (SWIRL 2025),2025,1.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:Yw6v6SrDvuUC,Scholar
Conversational Agents: A Framework for Evaluation (CAFE): Manifesto from Dagstuhl Perspectives Workshop 24352,2025,,"Dagstuhl Perspectives Workshop 24352: Dagstuhl Perspectives Workshop …, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:RVqaWcrwK10C,Scholar
Conversational Agents: A Framework for Evaluation (CAFE)(Dagstuhl Perspectives Workshop 24352),2025,3.0,"Dagstuhl Reports 14 (8), 53-58, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:QAOzB4mb83kC,Scholar
Evaluation of IR systems,2024,5.0,"Information Retrieval: Advanced Topics and Techniques, 111-191, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:KIRwYnRZzWQC,Scholar
pyPANTERA: A Python PAckage for Natural language obfuscaTion Enforcing pRivacy & Anonymization,2024,6.0,"Proceedings of the 33rd ACM International Conference on Information and …, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:I-2NeQpV75MC,Scholar
